ID,Year,District,District_Id,Usage_Type,Count,Using_Count,Amount
1501,2016,ADALAR,1103,YABANCI TEMSİLCİLİK,7,7,5617081.0
1502,2016,ADALAR,1103,TİCARİ,756,733,5617081.0
1503,2016,ADALAR,1103,RESMİ KURUM,357,350,5617081.0
1504,2016,ADALAR,1103,MESKEN,8456,8298,5617081.0
1505,2016,ADALAR,1103,İBADETHANE,9,8,5617081.0
1506,2016,ADALAR,1103,HAYIR KURUMU VE MÜZE,24,24,5617081.0
1507,2016,ARNAVUTKÖY,2048,TİCARİ,3162,28458,80770160.0
1508,2016,ARNAVUTKÖY,2048,SANAYİ TESİSLERİ,1693,1596,80770160.0
1509,2016,ARNAVUTKÖY,2048,RESMİ KURUM,2307,2187,80770160.0
1510,2016,ARNAVUTKÖY,2048,MESKEN,90872,87417,80770160.0
1511,2016,ARNAVUTKÖY,2048,İBADETHANE,119,107,80770160.0
1512,2016,ARNAVUTKÖY,2048,HAYIR KURUMU VE MÜZE,61,52,80770160.0
1513,2016,ATAŞEHİR,2049,TİCARİ,27209,24029,168598438.0
1514,2016,ATAŞEHİR,2049,SANAYİ TESİSLERİ,93,93,168598438.0
1515,2016,ATAŞEHİR,2049,RESMİ KURUM,3184,3136,168598438.0
1516,2016,ATAŞEHİR,2049,MESKEN,162043,159459,168598438.0
1517,2016,ATAŞEHİR,2049,İBADETHANE,156,146,168598438.0
1518,2016,ATAŞEHİR,2049,HAYIR KURUMU VE MÜZE,77,44,168598438.0
1519,2016,AVCILAR,2003,TİCARİ,14708,12434,149037470.0
1520,2016,AVCILAR,2003,SANAYİ TESİSLERİ,2183,2183,149037470.0
1521,2016,AVCILAR,2003,RESMİ KURUM,571,561,149037470.0
1522,2016,AVCILAR,2003,MESKEN,152452,150035,149037470.0
1523,2016,AVCILAR,2003,İBADETHANE,38,37,149037470.0
1524,2016,AVCILAR,2003,HAYIR KURUMU VE MÜZE,128,124,149037470.0
1525,2016,BAĞCILAR,2004,TİCARİ,31869,26869,205140332.0
1526,2016,BAĞCILAR,2004,SANAYİ TESİSLERİ,891,891,205140332.0
