ID   ,Year              ,District      ,District_Id ,Usage_Type           ,Count     ,Using_Count ,Amount
1501 ,2016              ,Adalar        ,       1103 ,Yabancý Temsilcilik  ,7         ,7           ,"5,617,081"
1502 ,2016              ,Adalar        ,       1103 ,Ticari               ,756       ,733         ,"5,617,081"
1503 ,2016              ,Adalar        ,       1103 ,Resmi Kurum          ,357       ,350         ,"5,617,081"
1504 ,2016              ,Adalar        ,       1103 ,Mesken               ,"8,456"   ,"8,298"     ,"5,617,081"
1505 ,2016              ,Adalar        ,       1103 ,Ýbadethane           ,9         ,8           ,"5,617,081"
1506 ,2016              ,Adalar        ,       1103 ,Hayýr Kurumu ve Müze ,24        ,24          ,"5,617,081"
1507 ,2016              ,Arnavutköy    ,       2048 ,Ticari               ,"31,62"   ,"28,458"    ,"80,770,160"
1508 ,2016              ,Arnavutköy    ,       2048 ,Sanayi Tesisleri     ,"1,693"   ,"1,596"     ,"80,770,160"
1509 ,2016              ,Arnavutköy    ,       2048 ,Resmi Kurum          ,"2,307"   ,"2,187"     ,"80,770,160"
1510 ,2016              ,Arnavutköy    ,       2048 ,Mesken               ,"90,872"  ,"87,417"    ,"80,770,160"
1511 ,2016              ,Arnavutköy    ,       2048 ,Ýbadethane           ,119       ,107         ,"80,770,160"
1512 ,2016              ,Arnavutköy    ,       2048 ,Hayýr Kurumu ve Müze ,61        ,52          ,"80,770,160"
1513 ,2016              ,Ataþehir      ,       2049 ,Ticari               ,"27,209"  ,"24,029"    ,"168,598,438"
1514 ,2016              ,Ataþehir      ,       2049 ,Sanayi Tesisleri     ,93        ,93          ,"168,598,438"
1515 ,2016              ,Ataþehir      ,       2049 ,Resmi Kurum          ,"3,184"   ,"3,136"     ,"168,598,438"
1516 ,2016              ,Ataþehir      ,       2049 ,Mesken               ,"162,043" ,"159,459"   ,"168,598,438"
1517 ,2016              ,Ataþehir      ,       2049 ,Ýbadethane           ,156       ,146         ,"168,598,438"
1518 ,2016              ,Ataþehir      ,       2049 ,Hayýr Kurumu ve Müze ,77        ,44          ,"168,598,438"
1519 ,2016              ,Avcýlar       ,       2003 ,Ticari               ,"14,708"  ,"12,434"    ,"149,037,470"
1520 ,2016              ,Avcýlar       ,       2003 ,Sanayi Tesisleri     ,"2,183"   ,"2,183"     ,"149,037,470"
1521 ,2016              ,Avcýlar       ,       2003 ,Resmi Kurum          ,"5,71"    ,"5,61"      ,"149,037,470"
1522 ,2016              ,Avcýlar       ,       2003 ,Mesken               ,"152,452" ,"150,035"   ,"149,037,470"
1523 ,2016              ,Avcýlar       ,       2003 ,Ýbadethane           ,38        ,37          ,"149,037,470"
1524 ,2016              ,Avcýlar       ,       2003 ,Hayýr Kurumu ve Müze ,128       ,124         ,"149,037,470"
1525 ,2016              ,Baðcýlar      ,       2004 ,Ticari               ,"31,869"  ,"26,869"    ,"205,140,332"
1526 ,2016              ,Baðcýlar      ,       2004 ,Sanayi Tesisleri     ,891       ,891         ,"205,140,332"
1527 ,2016              ,Baðcýlar      ,       2004 ,Resmi Kurum          ,"5,755"   ,"5,734"     ,"205,140,332"
1528 ,2016              ,Baðcýlar      ,       2004 ,Mesken               ,"228,188" ,"223,451"   ,"205,140,332"
1529 ,2016              ,Baðcýlar      ,       2004 ,Ýbadethane           ,190       ,185         ,"205,140,332"
1530 ,2016              ,Baðcýlar      ,       2004 ,Hayýr Kurumu ve Müze ,188       ,184         ,"205,140,332"
1531 ,2016              ,Bahçelievler  ,       2005 ,Ticari               ,"27,152"  ,"24,265"    ,"209,965,184"
1532 ,2016              ,Bahçelievler  ,       2005 ,Sanayi Tesisleri     ,"1,139"   ,"1,139"     ,"209,965,184"
1533 ,2016              ,Bahçelievler  ,       2005 ,Resmi Kurum          ,"4,823"   ,"4,716"     ,"209,965,184"
1534 ,2016              ,Bahçelievler  ,       2005 ,Mesken               ,"205,841" ,"203,372"   ,"209,965,184"
1535 ,2016              ,Bahçelievler  ,       2005 ,Ýbadethane           ,304       ,300         ,"209,965,184"
1536 ,2016              ,Bahçelievler  ,       2005 ,Hayýr Kurumu ve Müze ,228       ,225         ,"209,965,184"
1537 ,2016              ,Bakýrköy      ,       1166 ,Yabancý Temsilcilik  ,8         ,7           ,"190,013,635"
1538 ,2016              ,Bakýrköy      ,       1166 ,Ticari               ,"25,376"  ,"23,883"    ,"190,013,635"
1539 ,2016              ,Bakýrköy      ,       1166 ,Sanayi Tesisleri     ,231       ,231         ,"190,013,635"
1540 ,2016              ,Bakýrköy      ,       1166 ,Resmi Kurum          ,"9,755"   ,"9,551"     ,"190,013,635"
1541 ,2016              ,Bakýrköy      ,       1166 ,Mesken               ,"102,096" ,"100,727"   ,"190,013,635"
1542 ,2016              ,Bakýrköy      ,       1166 ,Ýbadethane           ,206       ,196         ,"190,013,635"
1543 ,2016              ,Bakýrköy      ,       1166 ,Hayýr Kurumu ve Müze ,148       ,135         ,"190,013,635"
1545 ,2016              ,Baþakþehir    ,       2050 ,Ticari               ,"39,292"  ,"19,188"    ,"138,150,604"
1546 ,2016              ,Baþakþehir    ,       2050 ,Sanayi Tesisleri     ,885       ,885         ,"138,150,604"
1547 ,2016              ,Baþakþehir    ,       2050 ,Resmi Kurum          ,"3,05"    ,"2,936"     ,"138,150,604"
1548 ,2016              ,Baþakþehir    ,       2050 ,Mesken               ,"135,195" ,"132,054"   ,"138,150,604"
1549 ,2016              ,Baþakþehir    ,       2050 ,Ýbadethane           ,131       ,120         ,"138,150,604"
1550 ,2016              ,Baþakþehir    ,       2050 ,Hayýr Kurumu ve Müze ,99        ,99          ,"138,150,604"
1552 ,2016              ,Bayrampaþa    ,       1886 ,Ticari               ,"18,506"  ,"15,069"    ,"87,102,593"
1553 ,2016              ,Bayrampaþa    ,       1886 ,Sanayi Tesisleri     ,264       ,264         ,"87,102,593"
1554 ,2016              ,Bayrampaþa    ,       1886 ,Resmi Kurum          ,"2,762"   ,"2,736"     ,"87,102,593"
1555 ,2016              ,Bayrampaþa    ,       1886 ,Mesken               ,"94,267"  ,"93,306"    ,"87,102,593"
1556 ,2016              ,Bayrampaþa    ,       1886 ,Ýbadethane           ,280       ,274         ,"87,102,593"
1557 ,2016              ,Bayrampaþa    ,       1886 ,Hayýr Kurumu ve Müze ,87        ,86          ,"87,102,593"
1558 ,2016              ,Beþiktaþ      ,       1183 ,Yabancý Temsilcilik  ,179       ,179         ,"164,077,136"
1559 ,2016              ,Beþiktaþ      ,       1183 ,Ticari               ,"28,618"  ,"26,106"    ,"164,077,136"
1560 ,2016              ,Beþiktaþ      ,       1183 ,Sanayi Tesisleri     ,"2,682"   ,"2,682"     ,"164,077,136"
1561 ,2016              ,Beþiktaþ      ,       1183 ,Resmi Kurum          ,"12,669"  ,"11,438"    ,"164,077,136"
1562 ,2016              ,Beþiktaþ      ,       1183 ,Mesken               ,"94,895"  ,"91,793"    ,"164,077,136"
1563 ,2016              ,Beþiktaþ      ,       1183 ,Ýbadethane           ,122       ,120         ,"164,077,136"
